MSA_UPC13,POS_SKU,MatchType
7999533313600,799953331360,heuristic/substr
7999533003660,799953300366,heuristic/substr
7999530391120,799953039112,heuristic/substr
7999530393270,799953039327,heuristic/substr
7999530395250,799953039525,heuristic/substr
7999530391500,799953039150,heuristic/substr
7999533092770,799953309277,heuristic/substr
7999533102730,799953310273,heuristic/substr
7999533312780,799953331278,heuristic/substr
7999532092010,799953209201,heuristic/substr
7999532212030,799953221203,heuristic/substr
7999532103060,799953210306,heuristic/substr
7999532102070,799953210207,heuristic/substr
7999533001750,799953300175,heuristic/substr
7999533212790,799953321279,heuristic/substr
7999533093760,799953309376,heuristic/substr
8101200687560,810120068756,heuristic/substr
8101200687630,810120068763,heuristic/substr
8101200687700,810120068770,heuristic/substr
8101200686880,810120068688,heuristic/substr
8101200687870,810120068787,heuristic/substr
8101200686710,810120068671,heuristic/substr
0333006358700,033300635870,heuristic/substr
8472440472130,847244047213,heuristic/substr
8472440023040,847244002304,heuristic/substr
8472440021680,847244002168,heuristic/substr
8472440005840,847244000584,heuristic/substr
8472440018330,847244001833,heuristic/substr
8472440549690,847244054969,heuristic/substr
8472440017720,847244001772,heuristic/substr
8472440459120,847244045912,heuristic/substr
8472440169360,847244016936,heuristic/substr
8472440474110,847244047411,heuristic/substr
0333006358490,033300635849,heuristic/substr
1877000015890,187700001589,heuristic/substr
1877000015270,187700001527,heuristic/substr
1877000043060,187700004306,heuristic/substr
1877000016190,187700001619,heuristic/substr
8541330055060,854133005506,heuristic/substr
8541330068790,854133006879,heuristic/substr
8541330068930,854133006893,heuristic/substr
8541330055130,854133005513,heuristic/substr
8541330068860,854133006886,heuristic/substr
8541330055200,854133005520,heuristic/substr
0259002827450,025900282745,heuristic/substr
0259002405160,025900240516,heuristic/substr
0259002409050,025900240905,heuristic/substr
0259002405300,025900240530,heuristic/substr
0259002407760,025900240776,heuristic/substr
0259002408130,025900240813,heuristic/substr
0259002406840,025900240684,heuristic/substr
0259002405230,025900240523,heuristic/substr
0259002408680,025900240868,heuristic/substr
0259004009580,025900400958,heuristic/substr
0259004211200,025900421120,heuristic/substr
0259004211510,025900421151,heuristic/substr
0259004211370,025900421137,heuristic/substr
0259003590270,025900359027,heuristic/substr
0259003590030,025900359003,heuristic/substr
0259003590340,025900359034,heuristic/substr
0259003595220,025900359522,heuristic/substr
0259003595080,025900359508,heuristic/substr
0259003595530,025900359553,heuristic/substr
0259003595150,025900359515,heuristic/substr
0259003595390,025900359539,heuristic/substr
0259003595600,025900359560,heuristic/substr
0259003595460,025900359546,heuristic/substr
0259003596070,025900359607,heuristic/substr
0259003596520,025900359652,heuristic/substr
0259003596210,025900359621,heuristic/substr
0259003596690,025900359669,heuristic/substr
0259003596380,025900359638,heuristic/substr
0259003596140,025900359614,heuristic/substr
0259003596450,025900359645,heuristic/substr
0259003590410,025900359041,heuristic/substr
0259003590580,025900359058,heuristic/substr
0259002409290,025900240929,heuristic/substr
0259002407900,025900240790,heuristic/substr
0259002771540,025900277154,heuristic/substr
0259002408060,025900240806,heuristic/substr
0259002974350,025900297435,heuristic/substr
0259002974970,025900297497,heuristic/substr
0259002974730,025900297473,heuristic/substr
0259002974660,025900297466,heuristic/substr
0259002974280,025900297428,heuristic/substr
0259002974040,025900297404,heuristic/substr
0259002974800,025900297480,heuristic/substr
0259003369120,025900336912,heuristic/substr
0259003368750,025900336875,heuristic/substr
0259003368990,025900336899,heuristic/substr
0259003368820,025900336882,heuristic/substr
0259003369050,025900336905,heuristic/substr
0259003257490,025900325749,heuristic/substr
0259002976950,025900297695,heuristic/substr
0259003257180,025900325718,heuristic/substr
0259003257320,025900325732,heuristic/substr
0259003367760,025900336776,heuristic/substr
0259003257250,025900325725,heuristic/substr
0259003367450,025900336745,heuristic/substr
0259003367070,025900336707,heuristic/substr
0259003367210,025900336721,heuristic/substr
0259003367520,025900336752,heuristic/substr
0259003367140,025900336714,heuristic/substr
0259003367380,025900336738,heuristic/substr
0259002006190,025900200619,heuristic/substr
0259002006020,025900200602,heuristic/substr
0259002474780,025900247478,heuristic/substr
0259002263740,025900226374,heuristic/substr
0259002005960,025900200596,heuristic/substr
0259002954000,025900295400,heuristic/substr
0259002872900,025900287290,heuristic/substr
0259002873060,025900287306,heuristic/substr
0259004533810,025900453381,heuristic/substr
0259004053660,025900405366,heuristic/substr
0259004268350,025900426835,heuristic/substr
0259004268280,025900426828,heuristic/substr
0259002296410,025900229641,heuristic/substr
0259002296340,025900229634,heuristic/substr
0259002296030,025900229603,heuristic/substr
0259002295970,025900229597,heuristic/substr
0259003277290,025900327729,heuristic/substr
0259002295800,025900229580,heuristic/substr
0259002295590,025900229559,heuristic/substr
0259004254320,025900425432,heuristic/substr
0259004267810,025900426781,heuristic/substr
0259002295280,025900229528,heuristic/substr
0259002296270,025900229627,heuristic/substr
0259003298770,025900329877,heuristic/substr
0259003298600,025900329860,heuristic/substr
0259003298530,025900329853,heuristic/substr
0259003299140,025900329914,heuristic/substr
0259003298910,025900329891,heuristic/substr
0259002963530,025900296353,heuristic/substr
0259003793150,025900379315,heuristic/substr
0259003298390,025900329839,heuristic/substr
0259003298840,025900329884,heuristic/substr
0259005254530,025900525453,heuristic/substr
0259002873510,025900287351,heuristic/substr
0259002788090,025900278809,heuristic/substr
0259003298220,025900329822,heuristic/substr
8165180125300,816518012530,heuristic/substr
8165180125920,816518012592,heuristic/substr
8165180126390,816518012639,heuristic/substr
8165180121890,816518012189,heuristic/substr
8165180119840,816518011984,heuristic/substr
8165180134070,816518013407,heuristic/substr
8165180125540,816518012554,heuristic/substr
8165180120040,816518012004,heuristic/substr
8165180100790,816518010079,heuristic/substr
8165180120420,816518012042,heuristic/substr
8165180120280,816518012028,heuristic/substr
8165180116250,816518011625,heuristic/substr
8165180120800,816518012080,heuristic/substr
8165180101850,816518010185,heuristic/substr
8165180100620,816518010062,heuristic/substr
8165180101300,816518010130,heuristic/substr
8165180101230,816518010123,heuristic/substr
8165180164840,816518016484,heuristic/substr
8165180165140,816518016514,heuristic/substr
8165180164220,816518016422,heuristic/substr
8165180164390,816518016439,heuristic/substr
8165180164460,816518016446,heuristic/substr
8165180164600,816518016460,heuristic/substr
1958937737250,195893773725,heuristic/substr
6951817002300,695181700230,heuristic/substr
6951817002780,695181700278,heuristic/substr
6951817002540,695181700254,heuristic/substr
7624465222000,762446522200,heuristic/substr
8414775011055,8414775011055,heuristic/substr
8414775012786,8414775012786,heuristic/substr
8414775014049,8414775014049,heuristic/substr
8414775011420,8414775011420,heuristic/substr
8414775013530,8414775013530,heuristic/substr
0717372263080,071737226308,heuristic/substr
0717372212040,071737221204,heuristic/substr
0717372263150,071737226315,heuristic/substr
0717372242050,071737224205,heuristic/substr
0717372263220,071737226322,heuristic/substr
0717372261310,071737226131,heuristic/substr
0717372261000,071737226100,heuristic/substr
7386072829480,738607282948,heuristic/substr
7965594672020,796559467202,heuristic/substr
7965594672400,796559467240,heuristic/substr
7386072830130,738607283013,heuristic/substr
7965594669080,796559466908,heuristic/substr
7965594671100,796559467110,heuristic/substr
7965594671030,796559467103,heuristic/substr
