name,upc1,upc2
PENGUIN XXL 1800 MANGO BOMB,8686745130790,0868674513079
PENGUIN XXL 1800 LUSH ICE,8686745130170,0868674513017
PENGUIN XXL 1800 ENERGY,8686745130480,0868674513048
PENGUIN XXL 1800 COOL MINT,8686745130240,0868674513024
PENGUIN XXL 1800 BOOSTER ICE,8686745130550,0868674513055
PENGUIN XXL 1800 BLUE RAZ,8686745130000,0868674513000
PENGUIN XXL 1800 BANANA ICE,8686745130310,0868674513031
PEACH QUEEN TOB 250G,8472440004300,0847244000430
NECTAR FLTR CGR VANILA 200CT,6100741057180,0610074105718
NECTAR FLTR CGR PEACH 200CT,6100741057700,0610074105770
NECTAR FLTR CGR MENTHOL 200CT,6100741056260,0610074105626
NECTAR FLTR CGR LIGHT 200CT,6100741055960,0610074105596
NECTAR FLTR CGR GAPE 200CT,6100741056880,0610074105688
NECTAR FLTR CGR FULL FLVR 200C,6100741055650,0610074105565
NECTAR FLTR CGR CHERRY 200CT,6100741056570,0610074105657
MY BLU INT MENTHOL 2.5% 1CT,8879690105670,0887969010567
MY BLU DEVICE 1CT,8879690110830,0887969011083
MR FOG ELITE WMELON RASP 1CT,8598562441640,0859856244164
MR FOG ELITE STRBRY BANANA 1CT,8598562441400,0859856244140
MR FOG ELITE RED BERRY 1CT,8598562441330,0859856244133
MR FOG ELITE PINK LEMONADE 1CT,8598562441710,0859856244171
MR FOG ELITE MANGO PEACH G 1CT,8598562441570,0859856244157
MR FOG ELITE MANGO LYCHEE 1CT,8598562442010,0859856244201
MR FOG ELITE GRAPE BLK 1CT,8598562441880,0859856244188
MR FOG ELITE COLA GUMMIES 1CT,8598562441950,0859856244195
MNGO PODS STRAWBRRY MNGO 1CT,2602097703370,0260209770337
MNGO PODS STRAWBERRY MINT 1CT,2602097703750,0260209770375
MNGO PODS PINK LEMONADE 1CT,2602097703680,0260209770368
MNGO PODS MANGO MELON 1CT,2602097703510,0260209770351
MNGO PODS MANGO 1CT,2602097703200,0260209770320
MNGO PODS 6% NIC 1CT.,MNGO0,000000000MNGO
MINT GULUSSUS TOB 250G,8472440004780,0847244000478
MELON BLUE TOB 100G,8472440005770,0847244000577
MAVRK SLV BOX 100,0261008065330,0026100806533
MAVERICK RED FF 100 BX,261008015380,0026100801538
MAVERICK RED F/F K/S BX,261008087420,0026100808742
MAVERICK MTL GOLD BX 100,261008013090,0026100801309
MAVERICK MTHL GREEN K/S BX,261008012860,0026100801286
MAVERICK MTHL GREEN 100 BX,261008012790,0026100801279
MAVERICK GOLD BX K/S,261008088410,0026100808841
MAVERICK GOLD BX 100,261008015520,0026100801552
LONGHORN WNTRGRN .99/PCH                          LONGHORN WNTRGRN .99/PCH,7624464903940,0762446490394
LONGHORN WGRN PCH 1.49 10CT                       LONGHORN WGRN PCH 1.49 10CT,7624464902640,0762446490264
LONGHORN MINT PCH 1.49 10CT                       LONGHORN MINT PCH 1.49 10CT,7624464933710,0762446493371
LONGHORN LC STRAIGHT .99/PCH                      LONGHORN LC STRAIGHT .99/PCH,7624464923980,0762446492398
LIQ GLD VAP TNK STWBRY 0.5ML 1,6177624380660,0617762438066
LIQ GLD VAP TNK JNGL JUCE .5ML,6177624380590,0617762438059
LEAP VAPOR RC TOBACCO 5/2CT,8888614121900,0888861412190
LEAP VAPOR MENTHOL 5/2CT,8888614121070,0888861412107
LEAP VAPOR KY TOBACCO 5/2CT,8888614120150,0888861412015
LEAP VAPOR KY MENTHOL 5/2CT,8888614120220,0888861412022
LEAP VAPOR GA TOBACCO 5/2CT,8888614121210,0888861412121
LEAP VAPOR CARL TOBACCO 5/2CT,8888614120600,0888861412060
LEAP GO WATERMELON KIWI 1CT,8888613022000,0888861302200
LEAP GO SMOOTH TOBACCO 1CT,8888613060000,0888861306000
