70137500421,182
842426165426,24
812319018948,32
71610341517,178
71610341036,128
842426181112,148
842426172059,48
71610341739,225
71610340992,75
842426164528,25
842426165303,57
842426165365,51
842426165570,80
842426166928,40
842426166980,124
842426167017,27
842426170581,241
842426170642,312
842426170857,131
842426171458,52
842426181501,74
842426181594,30
842426165396,85
842426165150,19
842426164078,147
842426165488,302
842426179850,393
842426166959,119
842426165242,55
842426166836,35
842426167109,78
70137500384,152
70137505259,258
842426165211,81
70137512479,456
818892010966,20
842426165273,495
842426170611,140
842426170703,113
70137505297,255
70137005421,355
70137005384,1247
842426181747,25
842426181839,30
70137831457,411
71610341760,134
31700237960,52
842426167079,214
842426165457,71
842426165334,223
842426167130,179
842426170765,187
31700239391,77
842426181082,361
842426165518,63
842426170550,159
842426170826,252
842426170529,421
842426170734,988
842426170796,132
842426167161,44
842426170499,473
90500100058,6
681467003553,17
28200606112,1
87393235233,0
76940197254,0
28200126504,0
28200143709,0
28200137807,0
28200135902,0
28200599414,0
28200584212,0
28200599711,0
28200601414,0
28200599810,0
28200586810,0
28200136206,1
28200135803,0
28200577412,0
28200194305,0
28200194404,0
814057400818,0
28200601513,0
28200599315,0
26100002973,0
76940197063,0
28200302519,0
689490002338,0
689490002482,0
689490002390,0
689490002543,0
689490002420,0
689490002574,0
689490002307,0
689490002451,0
689490002369,0
689490002512,0
689490000983,0
689490001379,0
689490001041,0
689490000884,0
689490000945,0
689490001010,0
689490000853,0
689490001102,0
689490000914,0
28200300713,4
28200604019,2
27200011636,0
27200032501,0
90600001446,0
90600001415,0
90600001408,0
689490001348,0
11000126119,0
11000126157,2
12300351010,0
185092030057,10
853202002033,0
853202002095,0
853202002118,0
185092000814,3
185092030040,4
853202002019,0
853202002057,0
853202002071,0
853202002132,0
853202002156,0
767321424174,0
28200305015,5
28200304414,0
28200303912,0
28200305411,0
76940197209,4
814057301719,0
814057001411,6
708926566050,0
708926630218,0
708926641542,0
708926641344,0
708926630348,0
708926641146,0
185092000821,6
185092000845,0
28200300812,0
28200300911,0
28200301512,0
28200172709,-5
28200109002,0
28200172501,0
28200172402,0
28200328519,0
28200328410,0
28200197207,0
28200171900,0
28200170903,0
28200604118,0
28200136503,0
28200322814,0
185092000838,6
12300155137,3
802284000475,1
802284005081,0
802284000444,0
802284005050,0
802284000505,0
802284005111,0
802284005142,0
802284000536,0
802284000413,0
802284005029,0
802284004503,35
802284004534,32
802284004725,5
802284004565,0
28200301710,0
28200301413,0
28200322913,0
28200332417,0
28200332516,1
28200319913,0
28200194800,0
28200196101,0
28200587312,0
28200569714,0
28200573117,0
28200577917,0
28200572219,0
28200572318,0
28200573129,0
28200549617,0
28200605214,0
28200572615,0
28200587015,0
28200600516,0
28200600110,0
28200600011,0
28200600615,0
28200600714,0
28200600912,0
28200600318,0
28200600219,0
28200600813,0
28200587213,0
28200585813,0
28200585912,0
28200584915,0
28200599117,0
28200599216,0
28200603111,0
28200315618,0
28200603210,0
28200603319,0
28200580511,0
28200608314,0
28200603418,0
28200580719,0
28200584717,0
28200584816,0
28200598714,0
28200607515,0
28200607713,0
28200607218,-1
28200607416,0
28200598912,0
28200584618,0
28200584519,0
28200585011,0
28200610010,0
28200578815,0
28200178602,0
28200181701,0
28200179302,0
28200198303,0
28200198204,0
28200173201,0
28200173102,0
857908000744,0
857908000737,0
857908000799,0
857908000805,0
857908000751,7
857908000768,6
185092030064,0
26100002775,0
12300132138,0
12300135139,0
12300133135,6
26100005370,2
12300509756,0
12300844154,0
12300843959,0
12300844239,0
12300108812,0
12300108119,0
12300105798,0
12300108782,0
12300911726,0
12300105767,1
12300911665,0
47995200442,0
12300119849,0
12300114332,2
12300114493,0
12300114523,0
12300119870,0
12300119931,0
12300154130,0
12300177139,0
12300367455,0
12300367486,0
12300502566,0
12300502597,0
12300502672,0
12300502733,0
12300502795,0
12300502825,0
12300502856,0
12300502887,0
12300844314,0
12300844390,0
26100004274,0
26100004373,0
26100005172,0
27200356744,0
27200356775,0
27200032518,0
43300020484,3
43300021085,0
12300114301,0
27200356836,0
43300187545,0
27200846658,0
27200846726,0
27200347391,0
26100016383,0
26100016444,0
26100016819,0
26100016727,0
26100805796,0
26100016352,0
26100016413,0
26100805857,0
26100016635,0
26100865752,0
26100016260,0
27200347360,0
27200348091,0
43300045180,0
26100016604,0
26100865745,0
27200347698,0
27200348015,0
27200348039,0
27200348077,0
26100016895,0
12300104135,0
12300351003,0
12300356923,0
12300356954,0
12300340847,2
12300192132,0
12300139137,2
27200347452,0
27200846696,16
43300187217,0
47995200305,0
43300109301,0
43300109219,0
43300187668,0
43300109035,0
43300187637,0
43300109158,0
43300187576,0
43300187453,0
43300187422,0
43300187484,0
12300844284,13
12300844369,27
12300708135,10
12300101134,3
12300102131,5
12300131131,0
47995856021,2
12300215138,30
43300020682,3
47995200015,5
708926565244,1
27200846627,4
853272008126,0
802284004411,13
12300367585,8
28200313911,6
76940197070,-1
76940197094,24
11000495086,8
11000405085,6
11000293101,7
11000286080,7
11000294108,8
11000285083,5
11000290100,9
12300911634,6
12300911603,45
20400051686,3
43300051082,8
802284004664,7
802284004473,7
12300259132,36
28200161307,9
28200318510,9
708926564049,28
20400052683,5
12300265713,11
814057002722,4
802284004602,15
802284004442,11
12300840132,6
28200324214,5
11000288084,19
802284004633,9
12300232845,5
12300839136,38
12300841139,7
28200195906,18
11000104087,16
76940197087,27
853272008164,62
814057002913,22
814057002319,16
27200347339,28
27200207060,16
43300065188,3
709215213990,5
709215615336,10
47995855314,10
28200331311,4
12300844017,22
76940197025,44
27200207046,18
27200018598,29
11000291107,4
681467003522,53
12300130134,6
12300327916,11
12300707138,4
28200305114,6
43300029081,3
853272008201,47
28200172266,12
12300843928,29
681467003584,2
12300220804,9
27200347247,42
28200177407,29
802284004695,14
28200334916,30
28200156808,34
28200314017,3
