msa_customer_number,msa_shipping_number,pos_account_number,matched_key
45541348,0,4045541348,45541348
45631045,0,4045631045,45631045
45650327,0,4045650327,45650327
45651387,0,4045651387,45651387
45651453,0,4045651453,45651453
45652751,0,4045652751,45652751
45739714,0,4045739714,45739714
45746099,0,4045746099,45746099
45845155,0,4045845155,45845155
45966160,0,7704596616,45966160
46050830,0,7704605083,46050830
46089059,0,4046089059,46089059
46102788,0,4046102788,46102788
46223888,0,4046223888,46223888
46258179,0,4046258179,46258179
46290360,0,4046290360,46290360
46338190,0,4046338190,46338190
46342476,0,4046342476,46342476
46349942,0,4046349942,46349942
46351399,0,4046351399,46351399
46411307,0,4046411307,46411307
46414978,0,4046414978,46414978
46529920,0,4046529920,46529920
46549650,0,7704654965,46549650
46702220,0,7704670222,46702220
46853722,0,4046853722,46853722
46858372,0,4046858372,46858372
46868000,0,7704686800,46868000
46880918,0,4046880918,46880918
46946270,0,7704694627,46946270
46968050,0,4046968050,46968050
47168973,0,7064856425,47168973
47168976,0,4047168976,47168976
47230379,0,2547230379,47230379
47371770,0,7704737177,47371770
47410840,0,7704741084,47410840
47439820,0,7704743982,47439820
47481296,0,4047481296,47481296
47518388,0,4047518388,47518388
47518838,0,4047518838,47518838
47531714,0,4047531714,47531714
47532006,0,4047532006,47532006
47550274,0,4047550274,47550274
47556300,0,4047556300,47556300
47562977,0,7047562977,47562977
47577470,0,7704757747,47577470
47582529,0,4047582529 ,47582529
47583221,0,4047583221,47583221
47614700,0,4047614700,47614700
47621861,0,4047621861,47621861
47658435,0,4047658435,47658435
47676228,0,4047676228,47676228
47860232,0,4047860232,47860232
47861176,0,4047861176,47861176
47862055,0,4047862055,47862055
47862238,0,4047862238,47862238
47927228,0,4047927228,47927228
47946236,0,4047946236,47946236
47999069,0,4047999069,47999069
48035230,0,4048035230,48035230
48202741,0,4048202741,48202741
48393890,0,7704839389,48393890
48395339,0,4048395339,48395339
48454010,0,7704845401,48454010
48555190,0,7704855519,48555190
48555201,0,4048555201,48555201
48637703,0,4048637703,48637703
48723717,0,4048723717,48723717
48733547,0,4048733547,48733547
48747875,0,4048747875,48747875
48760576,0,4048760576,48760576
48833142,0,4048833142,48833142
48851682,0,4048851682,48851682
48987860,0,7704898786,48987860
49182800,0,4049182800,49182800
49200010,0,7704920001,49200010
49291965,0,4049291965,49291965
49299100,0,7704929910,49299100
49315122,0,4049315122,49315122
49352145,0,4049352145,49352145
49368787,0,4049368787,49368787
49374400,0,7704937440,49374400
49487394,0,4049487394,49487394
49608883,0,4049608883,49608883
49632840,0,4049632840,49632840
49635005,0,4049635005,49635005
49635448,0,4049635448,49635448
49637712,0,4049637712,49637712
49637929,0,4049637929,49637929
49649847,0,4049649847,49649847
49753979,0,4049753979,49753979
49880277,0,4049880277,49880277
49887144,0,4049887144,49887144
49898698,0,4049898698,49898698
49929334,0,4049929334,49929334
49930475,0,4049930475,49930475
50432000,0,7705043200,50432000
50676960,0,7705067696,50676960
51283300,0,7705128330,51283300
51458880,0,4705145888,51458880
52409869,0,2052409869,52409869
53448570,0,4705344857,53448570
53632040,0,7705363204,53632040
54526210,0,4705452621,54526210
54677340,0,4705467734,54677340
55461140,0,7705546114,55461140
55818760,0,7705581876,55818760
55831960,0,7705583196,55831960
55861770,0,4705586177,55861770
55914170,0,7705591417,55914170
55942470,0,7705594247,55942470
55944490,0,7705594449 ,55944490
56373144,0,2056373144,56373144
56530660,0,7705653066,56530660
56840900,0,7705684090,56840900
57649461,0,3057649461,57649461
58098820,0,7705809882,58098820
59009720,0,7705900972,59009720
59097326,0,2059097326,59097326
59479170,0,9405947917,59479170
59679668,0,3059679668,59679668
62094515,0,7862094515,62094515
62094516,0,7862094516,62094516
62454770,0,7062454770,62454770
62888555,0,5162888555,62888555
62989054,0,5162989054,62989054
63182614,0,7863182614,63182614
63182691,0,6463182691,63182691
63202300,0,7706320230,63202300
63424030,0,7063424030,63424030
63646520,0,7063646520,63646520
65694488,0,7865694488,65694488
65743280,0,4706574328,65743280
65981471,0,7865981471,65981471
66085676,0,7866085676,66085676
66242830,0,7066242830,66242830
66407850,0,7706640785,66407850
66418767,0,7866418767,66418767
66426853,0,7866426853,66426853
66745433,0,7866745433,66745433
66831043,0,6466831043,66831043
67572152,0,7867572152,67572152
67747776,0,7867747776,67747776
68145526,0,7068145526,68145526
68450033,0,7068450033,68450033
68465276,0,7068465276,68465276
68481969,0,7868481969,68481969
68507208,0,7068507208,68507208
68571524,0,7068571524,68571524
69315480,0,7706931548,69315480
69381065,0,7069381065,69381065
69422879,0,7869422879,69422879
69638820,0,7706963882,69638820
69915082,0,7069915082,69915082
70381350,0,7707038135,70381350
71043120,0,2107104312,71043120
71762150,0,7707176215,71762150
71914300,0,4707191430,71914300
72465000,0,7707246500,72465000
72811880,0,7707281188,72811880
73965490,0,7707396549,73965490
74009990,0,4707400999,74009990
74406704,0,3474406704,74406704
74868750,0,7707486875,74868750
75013928,0,8175013928,75013928
75368606,0,2675368606,75368606
75383352,0,3475383352,75383352
75733790,0,7707573379,75733790
76092320,0,7707609232,76092320
77403030,0,7707740303,77403030
77800290,0,7707780029,77800290
77867710,0,4707786771,77867710
78595000,0,7707859500,78595000
78878230,0,7707887823,78878230
78880550,0,7707888055,78880550
80546000,0,7708054600,80546000
80683810,0,4708068381,80683810
80690330,0,7708069033,80690330
81914110,0,7708191411,81914110
82157334,0,6782157334,82157334
82314282,0,6782314282,82314282
82400051,0,4782400051,82400051
82428275,0,6782428275,82428275
82575244,0,6782575244,82575244
82591322,0,4782591322,82591322
82712443,0,6782712443,82712443
82896005,0,6782896005,82896005
82950014,0,4782950014,82950014
83030178,0,4783030178,83030178
83206640,0,7708320664,83206640
83294407,0,6783294407,83294407
83308640,0,6783308640,83308640
83429600,0,6783429600,83429600
83536181,0,6783536181,83536181
83726250,0,7708372625,83726250
83733790,0,7708373379,83733790
83865618,0,6783865618,83865618
83893710,0,4708389371,83893710
83947930,0,6783947930,83947930
83987469,0,6783987469,83987469
84185501,0,6784185501,84185501
84188828,0,6784188828,84188828
84222858,0,6784222858,84222858
84318144,0,6784318144,84318144
84635564,0,6784635564,84635564
84693695,0,6784693695,84693695
84771667,0,6784771667,84771667
84795745,0,6784795745,84795745
85045129,0,6785045129,85045129
85111220,0,4708511122,85111220
85150816,0,6785150816,85150816
85465580,0,7708546558,85465580
85679431,0,6785679431,85679431
85747818,0,6785747818,85747818
85836808,0,6785836808,85836808
85875959,0,6785875959,85875959
86436331,0,6786436331,86436331
86586435,0,6786586435,86586435
86642489,0,6786642489,86642489
87011027,0,6787011027,87011027
87055009,0,6787055009,87055009
87096225,0,6787096225,87096225
87481671,0,6787481671,87481671
87570170,0,4708757017,87570170
87684444,0,6787684444,87684444
87700162,0,6787700162,87700162
87709042,0,6787709042,87709042
87868930,0,4708786893,87868930
87870089,0,6787870089,87870089
87996660,0,7708799666,87996660
88065925,0,6788065925,88065925
88232336,0,6788232336,88232336
88345570,0,6788345570,88345570
88405013,0,6788405013,88405013
88835933,0,6788835933,88835933
88901154,0,6788901154,88901154
89035195,0,6789035195,89035195
89184480,0,4708918448,89184480
89186980,0,4708918698,89186980
89188290,0,4708918829,89188290
89279441,0,6789279441,89279441
89745293,0,6789745293,89745293
89772072,0,6789772072,89772072
89780081,0,6789780081,89780081
90088840,0,4709008884,90088840
90617490,0,7709061749,90617490
91450500,0,7709145050,91450500
92200860,0,7709220086,92200860
92275560,0,7709227556,92275560
94880800,0,7709488080,94880800
97703180,0,7709770318,97703180
98143430,0,7709814343,98143430
98155490,0,7709815549,98155490
98690010,0,7709869001,98690010
98787628,0,6098787628,98787628
99079820,0,4709907982,99079820
99119820,0,4709911982,99119820
99392500,0,7709939250,99392500
99730520,0,4709973052,99730520
