msa_customer_number,msa_shipping_number,msa_name,msa_address,msa_city,msa_state,pos_account_number,pos_name,match_type,confidence,weeks_active
43714443,0,AVONDALE ENTERPRISES LLC/ CHEVRO,2767 EAST COLLEGE AVE,DECATUR,GA,4043714443,AVONDALE ENTERPRISES LLC/ CHEVRON,fuzzy_name,medium,8
43730900,0,KALGI INC,1932 HOSEA L WILLIAMS DR NE,ATLANTA,GA,4043730900,KALGI INC,exact_name,high,2
43775405,0,DEVKI LAXMI LLC,600 W HOWARD AVE,DECATUR,GA,4043775405,DEVKI LAXMI LLC,exact_name,high,6
43890368,0,QUICK SERVE SUNCOAST DBA,5675 MEMORIAL DR,STONE MOUNTAIN,GA,2016588290,FINE LINE INC,address,medium,2
43895259,0,BP 5018 LLC,5018 PEACHTREE BLVD,CHAMBLEE,GA,4043895259,PEACHTREE 5018 LLC,address,medium,7
44192430,0,COVINGTON FOOD MART,9123 HIGHWAY 278 E,COVINGTON,GA,4045092623,CANTON FOOD MART,fuzzy_name,medium,6
44371429,0,CHEVRON FOOD MART,2889 CHAMBLEE TUCKER RD,ATLANTA,GA,7709511103,CHEVRON FOOD MART,exact_name,high,3
44472437,0,SELLEME,1046 HOLCOMBE RD STE 300,DECATUR,GA,4044472437,SELLEME,exact_name,high,8
44536184,0,JOSEPH INTERNATIONAL CORPORATION,1218 JOSEPH E BOONE BLVD NW,ATLANTA,GA,4042541078,RONALD FOOD MARKET LLC,address,medium,4
44686316,0,SMART FOOD MART 3,2139 MAIN ST,EAST POINT,GA,8328887382,SMART FOOD MART 1,fuzzy_name,medium,6
44719963,0,DRUID HILLS MANAGEMENT,3875 NORTH DRUID HILLS RD,DECATUR,GA,4044719963,DILSAM INC,address,medium,3
44723784,0,PLAN B WHOLESALE,4507 MILLS PL SW,ATLANTA,GA,4044723784,PLAN B WHOLESALE,exact_name,high,2
44772955,0,BISWAS GROCERY & CAFE,2853 BUFORD HWY NE,BROOKHAVEN,GA,4044772955,BISWAS GROCERY & CAFE,exact_name,high,2
44848160,0,ALL WORLD DISCOUNT,832 HAMBRICK RD,STONE MOUNTAIN,GA,4044848160,ALL WORLD DISCOUNT,exact_name,high,4
44901040,0,ALBANY INVESTMENT 2317 LLC,707 W  HIGHLAND AVE,ALBANY,GA,4704490104,ALBANY INVESTMENT 2317 LLC,exact_name,high,1
44997480,0,NEIGHBORHOOD MART,612 ROCKBRIDGE RD SW,LILBURN,GA,4704499748,EXPRESS POINT 612 INC,address,medium,5
45002625,0,MEHARI SONS LLC,3923 GLENWOOD RD,DECATUR,GA,4042866818,,address,medium,3
