msa_customer_number,msa_shipping_number,msa_name,msa_address,msa_city,msa_state,msa_phone,pos_account_number,pos_name,match_type,confidence,matched_key,weeks_active
42924005,0,MEMORIAL EXPRESS EXXON,4101 MEMORIAL DR,DECATUR,GA,,4042924005,BSB MEMORIAL FOOD MART INC,account_key,high,42924005,8
42928518,0,ELIAS INVESTMENTS INC/BIG JOHN,5345 MEMORIAL DR  BIG JOHNS PACKAGE,STN MTN,GA,,4042928518,ELIAS INVESTMENTS INC/BIG JOHN,account_key,high,42928518,7
42963430,0,A ONE ASIAN MARKET /DAW YIN,926 MONTREAL RD STE 10,CLARKSTON,GA,,4042963430,A ONE ASIAN MARKET /DAW YIN,account_key,high,42963430,3
42983322,0,PANI INVESTMENT LLC,3874 E PONCE DE LEON AVE,CLARKSTON,GA,,4042983322,PANI INVESTMENT LLC,account_key,high,42983322,2
42998926,0,ARCADE INTERNATIONAL INC,4463 ROCKBRIDGE ROAD,STONE MOUNTAIN,GA,,4042998926,HAPPY'S PACKAGE STORE,account_key,high,42998926,1
42999739,0,ANIL INVESTMENT LLC CITGO FM/S,3580 NORTH DECATUR RD,SCOTTDALE,GA,,4042999739,ASHKAN GROUP INC/TEXACO,account_key,high,42999739,5
43037460,0,5005 SNAPFINGER MART INC,"5005 SNAPFINGER WOODS DR, STE D",DECATUR,GA,,4704303746,5005 SNAPFINGER MART INC/FOOD MART D,account_key,high,43037460,4
43266796,0,EXPRESSO FOOD AND GAS INC,3484 CHAMBLEE TUCKER RD,CHAMBLEE,GA,,4043266796,EXPRESSO FOOD AND GAS INC,account_key,high,43266796,1
43430083,0,SHASEE PRIME LLC,1420 CUSTER AVE SE,ATLANTA,GA,,4043430083,SHASEE PRIME LLC/ CUSTER FOOD MART,account_key,high,43430083,6
43430707,0,PONCE MANDIR LLC,1161 PONCE DE LEON AVE NE,ATLANTA,GA,,4043430707,"JENA INVESTMENTS, INC. EXXON FOOD MART",account_key,high,43430707,7
43431642,0,MM PRIME 1771 INC,1771 CENTRA VILLA DR SW,ATLANTA,GA,,4043431642,MM PRIME 1771 INC,account_key,high,43431642,6
43433954,0,INTERNATIONAL GROCERY MARKET LLC,953 MONTREAL RD,CLARKSTON,GA,,4043433954,INTERNATIONAL GROCERY MARKET LLC,account_key,high,43433954,1
43612541,0,HALLA INVESTMENT LLC,3097 MORELAND AVE,CONLEY,GA,,4043612541,KINOS INV LLC / CITGO,account_key,high,43612541,4
43619222,0,TRUSHA BUSINESS INC/BP,5210 HIGHWAY 42,ELLENWOOD,GA,,4043619222,TRUSHA BUSINESS INC/BP,account_key,high,43619222,1
43620744,0,NYSAH ENTERPRISES LLC,4926 OLD DIXIE HWY,FOREST PARK,GA,,4043620744,NYSAH ENTERPRISES LLC/SHELL FOODMART,account_key,high,43620744,8
43631470,0,GANDHI WHOLESALE/TRIDENT WHLS,103 FOREST PKWY STE A,FOREST PARK,GA,,4043631470,GANDHI WHOLESALE/TRIDENT WHLS ,account_key,high,43631470,1
43633593,0,ANVIL BLOCK EXXON/ARA,2360 ANVIL BLOCK RD,ELLENWOOD,GA,,4043633593,EXXON FOOD MART,account_key,high,43633593,3
43666162,0,HAHYO INVESTMENT LLC,3100 MORELAND AVE,CONLEY,GA,,4043666162,MOSO INV LLC / CHEVRON,account_key,high,43666162,2
