Record,,3 Digit UPC,4 Digit UPC,5 Digit UPC,6 Digit UPC,7 Digit UPC,8 Digit UPC,9 Digit UPC,10 Digit UPC,11 Digit UPC,12 Digit UPC,13 Digit UPC,14 Digit UPC,15 Digit UPC,3 Digit UPC MATCH,4 Digit UPC MATCH,5 Digit UPC MATCH,6 Digit UPC MATCH,7 Digit UPC MATCH,8 Digit UPC MATCH,9 Digit UPC MATCH,10 Digit UPC MATCH,11 Digit UPC MATCH,12 Digit UPC MATCH,13 Digit UPC MATCH,14 Digit UPC MATCH,15 Digit UPC MATCH,TRUE MATCH,
BID,88796901187800887969011878ZONE 6MM 5CT SPEARMINT                                                                              000005N      003231                                                                                                 00300000000013,887,8879,88796,887969,8879690,88796901,887969011,8879690118,88796901187,887969011878,8879690118780,88796901187800,8879690118780,0,0,0,0,0,0,0,0,0,8.87969E+11,0,0,0,1,
BID,88796901185400887969011854ZONE 6MM 5CT PEPPERMINT                                                                             000005N      003231                                                                                                 00300000000018,887,8879,88796,887969,8879690,88796901,887969011,8879690118,88796901185,887969011854,8879690118540,88796901185400,8879690118540,0,0,0,0,0,0,0,0,0,8.87969E+11,0,0,0,1,
BID,88796901183000887969011830ZONE 6MM 5CT MINT                                                                                   000005N      003231                                                                                                 00300000000012,887,8879,88796,887969,8879690,88796901,887969011,8879690118,88796901183,887969011830,8879690118300,88796901183000,8879690118300,0,0,0,0,0,0,0,0,0,8.87969E+11,0,0,0,1,
BID,88796901165600887969011656ZONE 6MM 5CT DRAGONFRUIT                                                                            000005N      003231                                                                                                 00300000000009,887,8879,88796,887969,8879690,88796901,887969011,8879690116,88796901165,887969011656,8879690116560,88796901165600,8879690116560,0,0,0,0,0,0,0,0,0,8.87969E+11,0,0,0,1,
BID,88796901181600887969011816ZONE 6MM 5CT CITRUS                                                                                 000005N      003231                                                                                                 00300000000018,887,8879,88796,887969,8879690,88796901,887969011,8879690118,88796901181,887969011816,8879690118160,88796901181600,8879690118160,0,0,0,0,0,0,0,0,0,8.87969E+11,0,0,0,1,
BID,85607800836900856078008369ZLAB WATERMELON 1CT                                                                                 000001N      003231                                                                                                 00300000000000,856,8560,85607,856078,8560780,85607800,856078008,8560780083,85607800836,856078008369,8560780083690,85607800836900,8560780083690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BID,85607800828400856078008284ZLAB STRWBRY MILK 1CT                                                                               000001N      003231                                                                                                 00300000000000,856,8560,85607,856078,8560780,85607800,856078008,8560780082,85607800828,856078008284,8560780082840,85607800828400,8560780082840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BID,85607800812300856078008123ZLAB MANGO  1CT                                                                                     000001N      003231                                                                                                 00300000000000,856,8560,85607,856078,8560780,85607800,856078008,8560780081,85607800812,856078008123,8560780081230,85607800812300,8560780081230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BID,85607800854300856078008543ZLAB ICED WATERMELON 1CT                                                                            000001N      003231                                                                                                 00300000000000,856,8560,85607,856078,8560780,85607800,856078008,8560780085,85607800854,856078008543,8560780085430,85607800854300,8560780085430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BID,85607800853600856078008536ZLAB ICED STRAWBERRY 1CT                                                                            000001N      003231                                                                                                 00300000000000,856,8560,85607,856078,8560780,85607800,856078008,8560780085,85607800853,856078008536,8560780085360,85607800853600,8560780085360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BID,85607800852900856078008529ZLAB ICED PINACOLADA 1CT                                                                            000001N      003231                                                                                                 00300000000000,856,8560,85607,856078,8560780,85607800,856078008,8560780085,85607800852,856078008529,8560780085290,85607800852900,8560780085290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BID,85607800851200856078008512ZLAB ICED ORANGE 1CT                                                                                000001N      003231                                                                                                 00300000000000,856,8560,85607,856078,8560780,85607800,856078008,8560780085,85607800851,856078008512,8560780085120,85607800851200,8560780085120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BID,85607800850500856078008505ZLAB ICED MANGO 1CT                                                                                 000001N      003231                                                                                                 00300000000000,856,8560,85607,856078,8560780,85607800,856078008,8560780085,85607800850,856078008505,8560780085050,85607800850500,8560780085050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BID,81009098140600810090981406ZLAB 7GM 6CT STRAWBERRY BANANA                                                                      000006N      003231                                                                                                 00300000000000,810,8100,81009,810090,8100909,81009098,810090981,8100909814,81009098140,810090981406,8100909814060,81009098140600,8100909814060,0,0,0,0,0,0,0,0,0,8.10091E+11,0,0,0,1,
BID,81009098136900810090981369ZLAB 7GM 6CT STRAWBERRY                                                                             000006N      003231                                                                                                 003-0000000001,810,8100,81009,810090,8100909,81009098,810090981,8100909813,81009098136,810090981369,8100909813690,81009098136900,8100909813690,0,0,0,0,0,0,0,0,0,8.10091E+11,0,0,0,1,
BID,81009098132100810090981321ZLAB 7GM 6CT SKIT ICE                                                                               000006N      003231                                                                                                 00300000000000,810,8100,81009,810090,8100909,81009098,810090981,8100909813,81009098132,810090981321,8100909813210,81009098132100,8100909813210,0,0,0,0,0,0,0,0,0,8.10091E+11,0,0,0,1,
BID,81009098138300810090981383ZLAB 7GM 6CT PINEAPPLE BANANA                                                                       000006N      003231                                                                                                 00300000000000,810,8100,81009,810090,8100909,81009098,810090981,8100909813,81009098138,810090981383,8100909813830,81009098138300,8100909813830,0,0,0,0,0,0,0,0,0,8.10091E+11,0,0,0,1,
BID,81009098134500810090981345ZLAB 7GM 6CT CITRUS ICE                                                                             000006N      003231                                                                                                 00300000000000,810,8100,81009,810090,8100909,81009098,810090981,8100909813,81009098134,810090981345,8100909813450,81009098134500,8100909813450,0,0,0,0,0,0,0,0,0,8.10091E+11,0,0,0,1,
BID,81009098130700810090981307ZLAB 7GM 6CT BANANA ICE                                                                             000006N      003231                                                                                                 00300000000000,810,8100,81009,810090,8100909,81009098,810090981,8100909813,81009098130,810090981307,8100909813070,81009098130700,8100909813070,0,0,0,0,0,0,0,0,0,8.10091E+11,0,0,0,1,
BID,76925645332800769256453328ZILLOW HEMP WRAP BDAY CAKE20CT                                                                      000020N      003231                                                                                                 00300000000231,769,7692,76925,769256,7692564,76925645,769256453,7692564533,76925645332,769256453328,7692564533280,76925645332800,7692564533280,0,0,0,0,0,0,0,0,0,7.69256E+11,0,0,0,1,
BID,76925645364900769256453649ZILLOW HEMP WILD BERRY 20CT                                                                         000020N      003231                                                                                                 00300000000096,769,7692,76925,769256,7692564,76925645,769256453,7692564536,76925645364,769256453649,7692564536490,76925645364900,7692564536490,0,0,0,0,0,0,0,0,0,7.69256E+11,0,0,0,1,
