ONE WEEK CIGARETTE ORDER - For Tuesday Delivery
Generated: 2025-09-06 17:00:58

SUPPLIER: B2B USA LLC
Description,SKU,Current Stock,Weekly Sales,Order Qty,Unit Cost,Total Cost
CAMEL CRUSH MENTHOL BOX 10CT,012300193139,49,30,31,$84.41,$2616.71
CAMEL CRUSH MENTHOL SILVER BOX,012300194136,28,27,27,$84.41,$2279.07
KOOL MENTHOL BOX 10CT,090500100171,42,26,26,$82.66,$2149.16
KOOL MENTHOL 100 BOX 10CT,090500100195,35,23,24,$82.66,$1983.84
MARL 72 GREEN BOX 10CT,028200196200,28,23,23,$83.56,$1921.88
MARL MENTHOL BLACK BOX 10CT,028200195401,24,22,22,$75.81,$1667.82
MARL SILVER 100 BOX 10CT,028200147806,65,21,22,$80.07,$1761.54
CAMEL CRUSH REG BOX 10CT,012300197403,61,19,20,$84.41,$1688.20
MAVERICK MENTHOL BOX 10CT,090500100065,48,19,19,$63.80,$1212.20
MARL MENTHOL GOLD BOX 10CT,028200140104,16,19,19,$83.56,$1587.64
NEWPORT MENTHOL GOLD BOX 10CT,026100805765,41,18,18,$89.16,$1604.88
MARL SB GOLD BOX  10CT,028200142207,34,17,18,$80.07,$1441.26
CAMEL BLUE  BOX  10CT,012300107136,38,17,17,$84.41,$1434.97
LUCKY STRIKE ACTIVATE BLU 10CT,043300187606,28,16,16,$59.40,$950.40
MARL MENTHOL BLACK 100 BX 10CT,028200196408,32,16,16,$75.81,$1212.96
AMERICAN SPIRIT YELLOW 10CT,047995855192,38,15,16,$90.45,$1447.20
AMERICAN SPIRIT BLUE 10CT,047995855185,19,15,15,$90.45,$1356.75
MARL 72 RED BOX 10CT,028200196309,39,15,15,$80.07,$1201.05
MARL MENTHOL BOX 10CT,028200136107,23,14,14,$83.56,$1169.84
LUCKY STRIKE MENTHOL 100 BOX ,043300187187,18,13,13,$59.40,$772.20
MARL 72 GOLD BOX 10CT,028200196507,40,13,13,$80.07,$1040.91
SALEM MENTHOL GOLD 100 BX 10CT,090500100287,6,12,13,$95.64,$1243.32
LUCKY STRIKE MENTHOL BOX 10CT,043300187156,19,12,13,$59.40,$772.20
NEWPORT SMOOTH SELECT 100,026100806687,16,12,12,$89.16,$1069.92
NEWPORT SMOOTH SELECT BOX 10CT,026100806700,37,11,11,$89.16,$980.76
MARL BLACK GOLD BOX 10CT,028200334817,14,11,11,$75.81,$833.91
LUCKY STRIKE RED 100 BOX 10CT,043300109271,17,11,11,$59.40,$653.40
LUCKY STRIKE RED BOX 10CT,043300109189,11,11,11,$59.40,$653.40
NEWPORT NON MNTH RED BOX 10CT,026100806564,43,10,11,$79.56,$875.16
SALEM MENTHOL KING BOX 10CT,090500100249,26,10,11,$95.64,$1052.04
KOOL BLUE BOX 10CT,090500100201,24,10,11,$82.66,$909.26
AMERICAN SPIRIT GREEN 10CT,047995855154,42,10,10,$95.25,$952.50
MARL MENTHOL SMOOTH BOX 10CT,028200132307,28,9,9,$83.56,$752.04
PALL MALL MENTHOL 100 BOX 10CT,027200018659,15,9,9,$78.09,$702.81
PARLIAMENT WHITE KING BOX 10CT,028200178404,18,9,9,$95.86,$862.74
LUCKY STRIKE GOLD BOX 10CT,043300109004,16,8,8,$59.40,$475.20
MARL SB GOLD 100 BOX 10CT,028200142306,14,8,8,$80.07,$640.56
MAVERICK RED 100 BOX 10CT,090500100003,15,8,8,$63.80,$510.40
WINST GOLD BOX 10CT,090500100119,18,8,8,$81.96,$655.68
SALEM MENTHOL 100 BOX 10CT,090500100256,18,8,8,$95.64,$765.12
SALEM MENTHOL GOLD BOX 10CT,090500100270,36,8,8,$95.64,$765.12
NEWPORT NON MNTH RED 100 BOX,026100806571,16,8,8,$79.56,$636.48
NEWPORT MENTHOL GOLD 100 BOX,026100805727,18,8,8,$89.16,$713.28
MARL MENTHOL 100 BOX 10CT,028200136404,28,8,8,$83.56,$668.48
AMERICAN SPIRIT TURQUISE 10CT,047995855345,8,7,8,$95.25,$762.00
AMERICAN SPIRIT GOLD 10CT,047995855352,23,7,8,$95.25,$762.00
MARL MENTHOL GOLD 100 BOX 10CT,028200147103,27,7,7,$83.56,$584.92
L&M MENTHOL 100 BOX 10CT,028200310415,23,7,7,$79.58,$557.06
SALEM MENTHOL SLIM 100 BOX 10C,090500100263,9,7,7,$95.64,$669.48
MARL MENTHOL SILVER BOX 10CT,028200148100,97,7,7,$83.56,$584.92
PALL MALL BLUE BOX 10CT,027200018543,25,6,7,$78.09,$546.63
