SMART CIGARETTE ORDER - 1 WEEK SUPPLY
Generated: 2025-09-06 17:04:38
Analysis based on 12-month trends, weighted toward recent 8 weeks
Total Order: 6,177 units, $480,545.18

Description,SKU,Order Qty,Current Stock,Weeks Cover,8wk Avg,3mo Avg,12mo Avg,Trend,Growth %,Peak Wk,Min Wk,Volatility,Unit Cost,Margin,Weekly Profit
MARL SB GOLD 100 BOX 10CT,028200142306,7,14,1.9,7.4,5.8,6.1,DOWN ?,-78.9%,9,4,MED,$80.07,$4.38,$32.32
TETON 6 GREEN 100 BOX 10CT,853272008249,8,0,0.0,8.1,4.8,5.6,DOWN ?,-80.0%,16,2,HIGH,$25.99,$1.89,$15.38
LUCKY STRIKE GOLD BOX 10CT,043300109004,8,16,2.2,7.3,6.0,5.4,DOWN ?,-65.5%,11,2,MED,$59.40,$4.30,$31.18
FORTUNA MENTHOL 100 BOX 10CT,090600301911,7,22,3.0,7.4,5.5,5.7,DOWN ?,-75.0%,10,5,MED,$76.86,$2.66,$19.62
MONTEGO BLUE 100 BOX 10CT,011000010036,7,27,3.8,7.1,5.4,6.0,DOWN ?,-76.7%,10,4,MED,$39.66,$1.03,$7.34
AMERICAN SPIRIT GOLD 10CT,047995855352,7,23,3.2,7.3,5.3,4.4,DOWN ?,-78.6%,13,1,HIGH,$95.25,$3.04,$22.04
AMERICAN SPIRIT TURQUISE 10CT,047995855345,7,8,1.1,7.1,5.0,5.0,DOWN ?,-70.0%,11,2,MED,$95.25,$2.52,$17.98
MARL MENTHOL SILVER BOX 10CT,028200148100,7,97,14.6,6.6,5.2,5.0,DOWN ?,-92.0%,13,2,HIGH,$83.56,$3.75,$24.85
LD RED 100 BOX 10CT,076940197018,7,28,3.8,7.4,4.8,4.1,DOWN ?,-82.8%,10,3,MED,$30.14,$0.78,$5.76
MARL MENTHOL GOLD 100 BOX 10CT,028200147103,7,27,4.1,6.6,5.3,4.3,DOWN ?,-90.2%,12,3,MED,$83.56,$5.52,$36.58
L&M BLUE BOX 10CT,028200310019,7,10,1.6,6.4,5.4,4.9,DOWN ?,-77.3%,15,3,HIGH,$78.52,$3.48,$22.18
NEWPORT MENTHOL GOLD 100 BOX,026100805727,7,18,2.8,6.3,5.5,4.8,DOWN ?,-83.8%,10,1,HIGH,$89.16,$2.27,$14.39
VIRG SL MENTHOL  SPSL BOX 10CT,028200177803,7,14,2.1,6.6,5.1,4.5,DOWN ?,-72.7%,9,2,MED,$95.86,$4.00,$26.29
PALL MALL BLUE BOX 10CT,027200018543,7,25,3.8,6.6,4.8,4.3,DOWN ?,-76.5%,12,2,HIGH,$78.09,$2.41,$15.94
KOOL MENTHOL SOFT 10CT,090500100188,6,41,6.7,6.1,4.3,5.8,DOWN ?,-81.3%,9,4,MED,$80.96,$3.53,$21.62
NEWPORT PLATINUM BLUE BOX 10CT,026100016291,6,14,2.2,6.3,4.6,5.0,DOWN ?,-96.0%,9,1,MED,$89.16,$1.54,$9.63
24/7 MENTHOL GOLD 100 BX 10CT,685141913190,8,30,3.8,8.0,2.8,3.2,UP ?,175.0%,21,1,HIGH,$27.95,$1.04,$8.32
MARL MENTHOL SILVER 100 BOX ,028200148506,6,64,10.0,6.4,5.1,3.1,DOWN ?,-82.8%,12,4,HIGH,$83.56,$3.75,$23.88
MARL MENTHOL 100 BOX 10CT,028200136404,6,28,4.8,5.9,4.7,5.3,DOWN ?,-80.0%,10,1,HIGH,$83.56,$3.74,$22.00
WINST RED KING BOX 10CT,090500100096,7,14,2.1,6.6,4.3,4.1,DOWN ?,-91.7%,14,1,HIGH,$81.96,$2.98,$19.53
KOOL BLUE 100 BOX 10CT,090500100218,6,30,5.3,5.7,4.6,5.6,DOWN ?,-90.9%,10,1,MED,$82.66,$2.68,$15.19
SHIELD MENTHOL GREEN 100 BOX,814057002517,6,51,10.5,4.9,5.1,6.9,DOWN ?,-83.3%,9,1,HIGH,$39.00,$3.13,$15.19
CROWNS RED 100 BOX 10CT,090600392667,6,46,8.0,5.7,4.9,4.8,UP ?,72.2%,10,3,HIGH,$32.22,$2.34,$13.38
L&M MENTHOL BOX 10CT,028200310316,6,38,7.2,5.3,4.7,5.5,DOWN ?,-76.9%,8,2,MED,$79.58,$2.95,$15.47
LD BLUE BOX 10CT,076940197025,6,15,2.4,6.3,4.0,4.0,DOWN ?,-80.0%,17,3,HIGH,$30.14,$1.17,$7.42
LUCKY STRIKE GOLD 100 BOX 10CT,043300109097,6,33,5.9,5.6,4.2,5.2,DOWN ?,-61.9%,9,3,MED,$59.40,$4.50,$25.33
L&M BLUE 100 BOX 10CT,028200310217,6,13,2.2,5.9,4.1,4.1,DOWN ?,-80.8%,8,5,LOW,$78.52,$3.15,$18.46
SALEM MENTHOL SLIM 100 BOX 10C,090500100263,6,9,1.6,5.8,4.6,4.0,DOWN ?,-75.0%,9,2,MED,$95.64,$2.90,$16.68
TETON 6 RED BOX 100 10CT,853272008188,6,4,0.7,6.1,3.8,4.1,DOWN ?,-44.4%,16,1,HIGH,$26.00,$2.18,$13.35
